cluster_id,start_date,end_date,length_days,n_high_days,max_vol_z,avg_ret_%,post_1d_%,post_3d_%,post_5d_%,pump_dump,pump_pct_%,dump_pct_%,time_to_peak_days,time_to_dump_days
1,2020-07-07,2020-07-07,1,1,3.7126490460081376,-5.9782608695652195,-3.1791907514450823,0.0,-1.1560693641618491,0,0.0,-3.1791907514450823,0.0,1.0
2,2020-09-01,2020-09-03,3,1,0.9755257674543056,3.0327102803738404,-2.515723270440251,-2.515723270440251,-2.2012578616352307,0,,,,
3,2020-09-28,2020-09-29,2,2,2.676506209962638,3.87609649122806,-0.5797101449275366,4.6376811594202705,17.391304347826075,0,0.8771929824561431,-1.7391304347826098,1.0,2.0
4,2020-10-02,2020-10-02,1,1,2.7616153511362205,6.48967551622419,5.263157894736836,16.343490304709142,5.263157894736836,0,0.0,5.263157894736836,0.0,3.0
5,2020-10-05,2020-10-09,5,3,2.539008480735593,2.6364522417154026,6.315789473684208,7.8947368421052655,11.315789473684234,1,10.526315789473696,-9.523809523809534,2.0,2.0
6,2020-10-12,2020-10-15,4,0,2.0143533878049444,5.87528650169253,-1.856148491879328,-1.6241299303944134,-5.336426914153125,0,6.683168316831667,-1.856148491879328,3.0,1.0
7,2020-11-02,2020-11-02,1,0,2.483224904107463,6.93779904306219,0.8948545861297452,3.1319910514541416,7.38255033557047,0,0.0,0.8948545861297452,0.0,1.0
8,2020-11-06,2020-11-06,1,0,1.0741888112044593,6.941431670281981,-2.6369168356997985,-7.7079107505070965,-6.288032454361048,0,,,,
9,2020-11-09,2020-11-10,2,1,3.2736751232286068,-4.339291751183224,0.8869179600886845,2.4390243902439046,-2.2172949002217224,1,0.0,-9.999999999999986,0.0,3.0
10,2020-11-13,2020-11-13,1,1,3.076199024598458,6.94444444444444,-4.761904761904756,-4.761904761904756,-9.307359307359297,0,0.0,-4.761904761904756,0.0,3.0
11,2020-11-16,2020-11-16,1,0,2.694485544800615,-4.761904761904749,0.2272727272727204,-2.272727272727282,-1.8181818181818188,0,0.0,-2.272727272727282,0.0,3.0
12,2020-12-22,2020-12-22,1,0,1.4630999963380376,3.74707259953162,0.22573363431153126,-2.934537246049662,-1.8058690744921058,0,,,,
13,2020-12-30,2020-12-30,1,0,1.134897735533673,2.98850574712645,1.5624999999999778,0.22321428571427937,-1.1160714285714413,0,,,,
